diplomacy	<div>dɪplóʊməsi<br></div>外交	
herbivore	<div>(h)ˈɚːbəv`ɔɚ<br></div>草食動物	
lava	<div>lάːvə<br></div>溶岩	
grain	<div>gréɪn<br></div>穀物、（砂などの）粒、（the 〜）木目	
fond	<div>fάnd<br></div>好んで<br>be fond of 〜: 〜を好む	
affluent	<div>ˈæfluːənt<br></div>（形）豊富な	
saw	<div>sˈɔː<br></div>のこぎり<div>※ sew「縫う」と混同注意</div><div><br></div><div>a&nbsp;power&nbsp;saw</div><div>電動のこぎり<br></div>	
odor	<div>[óʊdɚ]</div>匂い、香気	
scent	<div>sént<br></div>香り	
brochure	<div>broʊʃˈʊɚ<br></div>小冊子、パンフレット	
habitat	<div>hˈæbət`æt<br></div>（動物や植物の）生息域<div><br></div><div>There is&nbsp;the&nbsp;brown bear's&nbsp;habitat.<br></div><div>そこはヒグマの生息地である。<br></div>	
tissue	<div>tíʃuː<br></div>（細胞の）組織	
priest	<div>príːst<br></div>聖職者	
maize	<div>méɪz<br></div>（名）トウモロコシ	
carnivore	<div>kάɚnəv`ɔɚ<br></div>肉食動物	
garment	<div>gάɚmənt<br></div>衣服	
offend	<div>əfénd<br></div>（自）気分を損なう<div>（他）怒らせる、傷つける</div>	
atlas	<div>ˈætləs<br></div>（名）地図帳	
marsh	<div>mάɚʃ<br></div>（名）沼、湿地	
nebula	<div>nébjʊlə<br></div>星雲	
algae	<div>ˈældʒiː<br></div>（海藻などの）藻類	
hostage	<div>hάstɪdʒ<br></div>人質	
beehive	<div>ˈbiːhaɪv<br></div>（名）ハチの巣	
primate	<div>prάɪmət<br></div>霊長類、大司教	
deficit	<div>défəsɪt<br></div>赤字	
surplus	<div>sˈɚːplʌs<br></div>（名）黒字、余り<div>（形）余分な</div>	
artifact	<div>άɚṭɪf`ækt<br></div>（名）人工遺物、加工品<div><br></div><div>a historical&nbsp;artifact<br></div><div>古くから伝わる由緒ある物<br></div>	
punctual	<div>pˈʌŋ(k)tʃuəl<br></div>時間に正確な	
stellar	<div>stélɚ<br></div>星の、星のような	
stride	<div>strάɪd<br></div>（動）大股に歩く<div>（名）大股に歩くこと、歩幅</div>	
infection	<div>ɪnfékʃən<br></div>（名）伝染<div><br></div><div>viral&nbsp;infection<br></div><div>ウイルス感染</div>	
sue	<div>súː<br></div>告訴する	
spear	"<div>spíɚ<br></div>（名）やり<div><br></div><div><img src=""sp (1).jpeg""><br></div>"	
spontaneous	<div>spɑntéɪniəs<br></div>自発的な	
bathe	<div>béɪð<br></div>（動）入浴する	
harsh	<div>hάɚʃ<br></div>（形）荒い	
leap	<div>líːp<br></div>跳ぶ	
might	<div>mɑɪt<br></div>力	
flock	<div>flάk<br></div>（名）（羊などの）群れ<div>（動）群れる</div>	
prestige	<div>prestíːʒ<br></div>（名）名声、威信<div>（形）世評の高い、名門の、一流の</div>	
abdomen	<div>[ˈæbdəmən]</div>腹部	
larva	<div>lάɚvə<br></div>幼虫	
hemisphere	<div>hémɪsfìɚ<br></div>半球	
famine	<div>[fˈæmɪn]</div>（名）飢餓、欠乏	
dwelling	<div>ˈdwɛl.ɪŋ<br></div>住居	
Supreme Court	<div>sʊpríːm<br></div>（the 〜）最高裁判所	
gland	<div>glˈænd<br></div>（リンパ腺などの）腺	
Uncle Sam	アンクル・サム（米国政府を擬人化した呼称）	
mercury / Mercury	<div>mˈɚːkjʊri<br></div>水銀、水星	
limestone	<div>ˈlaɪˌmston<br></div>石灰岩	
swamp	<div>[swάmp]</div>（名）沼地	
meteor	<div>[míːṭiɚ]</div>（名）流星、隕石、大気現象	
blowhole	<div>ˈbloˌhol<br></div>（名）（クジラなどの）噴気孔	
grief	<div>gríːf<br></div>悲しみ	
archaeology	<div>ὰɚkiάlədʒi<br></div>（名）考古学	
reptile	<div>réptl<br></div>爬虫類	
canal	"<div>kənˈæl<br></div>（名）運河<div><br></div><div><img src=""paste-45ff14aa8e4b2e70ab4ed1df33793b08fff7d36a.jpg""><br></div>"	
staple	<div>stéɪpl<br></div>（形）主要な<div>（名）主要産物、繊維</div><div>（動）選別する</div>	
tree sap	<div>sˈæp<br></div>樹液	
frost	<div>frˈɔːst<br></div>霜	
sulfur	<div>sˈʌlfɚ<br></div>硫黄	
proverb	<div>prάvɚːb<br></div>ことわざ	
germ	<div>dʒˈɚːm<br></div>細菌	
eloquent	<div>éləkwənt<br></div>雄弁な	
enact	<div>ɪnˈækt<br></div>立法化する	
herd	<div>hˈɚːd<br></div>（名）（牛や豚などの）群れ	
nerve	<div>nˈɚːv<br></div>神経	
gross	<div>gróʊs<br></div>総計	
deficient	<div>dɪfíʃənt<br></div>（形）不足した、不十分な	
utensil	<div>juːténsl<br></div>家庭用品、調理器具	
red tape	お役所仕事、形式主義、非効率	
fission	<div>fíʃən<br></div>（核）分裂<div><br></div><div>nuclear&nbsp;fission</div><div>核分裂<br></div>	
forge	<div>fˈɔɚdʒ<br></div>（動）鍛造する、築く、構築する<div>（名）鍛冶場</div>	
blacksmith	<div>ˈblæk.smɪθ<br></div>（名）鍛冶屋	
barter	<div>bάɚṭɚ<br></div>（名）物々交換<div>（動）物々交換する</div>	
graze	<div>gréɪz<br></div>（家畜などが）草を食べる	
steppe	<div>stép<br></div>大草原	
haze	<div>héɪz<br></div>（名）かすみ、もや<div>（自）もやをかぶる</div>	
dough	<div>dóʊ<br></div>パン生地、こね粉	
liable	<div>lάɪəbl<br></div>〜しがちな、責めを負うべき、法的責任がある	
peninsula	<div>pəníns(ə)lə<br></div>半島	
Neolithic Age	<div>nìːəlíθɪk<br></div>（名）新石器時代	
cordial	<div>kˈɔɚdʒəl<br></div>心からの	
kerosene	<div>[kérəsìːn]</div>灯油	
timber	<div>tímbɚ<br></div>木材	
insulate	<div>ínsəlèɪt<br></div>（熱などを）遮断する	
quarrel	<div>kwˈɔːrəl<br></div>（名）口げんか<div>（動）口げんかする</div>	
evaporate	<div>ɪvˈæpərèɪt<br></div>（水などが）蒸発する、蒸発させる	
recitation	<div>rèsətéɪʃən<br></div>（名）朗読<div><br></div><div>The&nbsp;teacher&nbsp;noted&nbsp;several&nbsp;mistakes&nbsp;in&nbsp;my&nbsp;recitation.<br></div><div>先生は私の朗読にいくつかの誤りを指摘した。<br></div>	
equator	<div>[ɪkwéɪṭɚ]</div>（the〜）赤道	
