私は次のような理由で、料理をすることが好きです。	I like cooking for the following reasons.<div><br></div><div>●I like 〜: 私は〜が好きだ</div><div>〜には名詞かそれに準じる形にする。<br><div><br></div><div>1</div></div>	
友達を作るには、スポーツをするのが良いと思います。	I think playing sports is a good way to make friends.<div><br></div><div>●a good way to 〜: 〜するのに良い方法<br><div><br></div><div>2</div></div>	
私はその知らせについて喜んでいます。	I am happy about the news.<div><br></div><div>●[人] be [感情を表す形容詞] about / with / to 〜</div><div>形容詞に続く前置詞は about&nbsp;/ with / to の3種類ある。</div><div>後の名詞が主語との関わりが浅ければ about、深ければ with と考える。</div><div><br></div><div>I am happy about the news.</div><div>その知らせについて、私は喜んでいます。</div><div><br></div><div>I am happy with my new job.</div><div>私の新しい仕事に関して、私は喜んでいます。</div><div><br></div><div>Happy to help you out.</div><div>あなたのお役に立てて私は嬉しいです。<br><div><br></div><div>3</div></div>	
（選択肢が3つある時に）他の2つの選択肢よりも、映画鑑賞が好きです。	I prefer seeing movies over the other two choices.<div><br></div><div>●prefer A over B: BよりAのほうが好きだ</div><div><br></div><div>●the other 〜: 他の〜 / 残りの</div><div>選んだものを除いた残りのもの。上の文のように、他の選択肢が限定されている場合、必ず other の前に the を付けること。</div><div>選択肢が2つの場合は over the other choice とする。</div><div><br></div><div>4</div>	
お金は他の何よりも大切だ、という主張に賛成です。	I agree with the statement that money is more important than anything else.<div><br></div><div>●agree with 〜: 〜に賛成する</div><div>disagree with 〜も使えるようにしておく。</div><div><br></div><div>●A is more [形容詞] than B: AはBよりも [形容詞] だ<br><div><br></div><div>5</div></div>	
私の意見としては、公平であることが良い指導者であるための大切な性質です。	In my opinion, fairness is the most important characteristic for a good leader.<div><br></div><div>●in my opinion: 私の意見では</div><div>「I think」や「from my point of view」と同義。</div><div><br></div><div>6</div>	
友人は最高の楽しみになりえます。	Friends can be the best form of entertainment.<div><br></div><div>●can be 〜: 〜になりうる</div><div>「確実にそうかはわからないが」という含みを持たせた文になる。</div><div><br></div><div>7</div>	
反対する人もいるかもしれませんが、自由が最も大切なものだと信じます。	Though some people may disagree, I believe freedom is the most important thing.<br><div><br></div><div>8</div>	
新しいことを学ぶことは、いつも楽しいです。	I always enjoy learning new things.<div><br></div><div>●enjoy 〜: 〜を楽しむ</div><div>enjoy の後ろには名詞を置く。<br><div><br></div><div>9</div></div>	
私の最優先事項は、たくさんのお金を稼ぐことです。	My first priority is earning a lot of money.<div><br></div><div>●my first priority is 〜: 私の第一の優先事項は〜だ</div><div><br></div><div>10</div>	
有機食材を食べることは、私の体にとっていいことです。	It is good for my body to eat organic food.<div><br></div><div>●It is [形容詞] to [動詞]: [動詞] することは [形容詞] だ<br><div><br></div><div>11</div></div>	
きちんとリサイクルをすることは、子供や孫に貢献することです。	Recycling properly contributes to our offspring.<div><br></div><div>●[動名詞（動名詞の -ing形）] properly: きちんと [動詞] すること&nbsp;</div><div>動詞を主語にしたい時に使える。また properly を後ろに置くことで、強いサポート理由となる。</div><div><br></div><div>●contribute to [人・物]: [人・物] に貢献する<br><div><br></div><div>12</div></div>	
大切な顧客と話すことで、私はコミュニケーションスキルを伸ばすことができます。	Talking to our precious customers improves my communication skills.<div><br></div><div>●[名詞 / 形容詞] skills: [名詞]に関わる能力・技術 / [形容詞]的な能力・技術</div><div>skills の前に名詞を起き、何の能力を伸ばすのかを具体的に説明する。</div><div><br></div><div>13</div>	
その教授は、私の潜在能力を最大限まで伸ばしてくれます。	The professor helps me to maximize my potential.<div><br></div><div>●maximize [名詞]: [名詞] を最大限にする</div><div>後ろにくる主な名詞は以下の通り。</div><div>・ポジティブな言葉</div><div>potential（潜在能力）、effectiveness（効率の良さ）</div><div>・限界、制限があるもの</div><div>time（時間）、schedule（スケジュール）、money（お金）、budget（予算）など</div><div><br></div><div>※悪いことを最小限にとどめる場合は minimize [名詞] を使う。<br><div><br></div><div>14</div></div>	
夫（妻）は、私を精神的に支えてくれます。	My spouse provides me with mental support.<div><br></div><div>●provide [人] with [物]: [物] を [人] に与える</div><div>provide [物] for [人] と同じ意味。</div><div><br></div><div>●[形容詞] support</div><div>support の前に形容詞を置き、具体的にどのような利点があるのか説明する時に使う。</div><div><div><br></div><div>15</div></div>	
ネット通販を利用することで、お金が節約できます。	I can save money by using online shopping.<div><br></div><div>●save money: お金を節約する</div><div>他にも「put aside 〜: 〜を蓄えておく」「cut back on 〜: 〜を削減する」なども使える。<br><div><br></div><div>16</div></div>	
私にとって、公共交通機関を使うことは、車を所有するよりずっと安くつきます。	For me, taking public transportation is much cheaper than owning a car.<div><br></div><div>●for me: 私にとっては</div><div>「in my case: 私の場合は」「personally: 個人的には」も同義で使える。</div><div><div><br></div><div>17</div></div>	
Eメールを送ることは、お金の面でも、時間の面でも、効率が良いです。	Sending e-mails is cost-effective and time-efficient.<div><br></div><div>●cost-effective: 費用効果がある</div><div><br></div><div>●time-efficient: 時間の効率が良い<br><div><br></div><div>18</div></div>	
マラソンは免疫系を高めます。	Running marathons can strengthen our immune system.<div><br></div><div>●strengthen〜: 〜を強くする</div><div>形容詞 strong の動詞形。良い点を具体的に伝える時に使える表現。</div><div><br></div><div>19</div>	
1人で働くと、時間の節約になります。	I can save time if I work alone.<div><br></div><div>●save time: 時間を節約する</div><div><br></div><div>20</div>	
